佃,つくだ/テン cultivated rice field
黙,だま∙る/モク silence
鳳,ホウ male mythical bird
欲,ほっ∙する/ヨク longing
句,ク phrase
辞,や∙める/ジ resign
悪,わる∙い/アク bad
鄭,テイ an ancient Chinese province
据,す∙える/キョ set
酬,むく∙いる/シュウ repay
返,かえ∙す/ヘン return
贈,おく∙る/ゾウ presents
已,や∙む/イ stop
悩,なや∙む/ノウ trouble
屋,や/オク roof
目,め/モク eye
亡,な∙い/ボウ deceased
押,お∙す/オウ push
凱,かちどき/ガイ victory song
壇,ダン podium
袋,ふくろ/タイ sack
沌,くら∙い/トン primeval chaos
試,こころ∙みる/シ test
骨,ほね/コツ skeleton
庄,ショウ level
綾,あや/リン design
搭,トウ board
藁,わら/コウ straw
漢,カン Sino-
童,わらべ/ドウ juvenile
委,ゆだ∙ねる/イ committee
鼎,かなえ/テイ three legged kettle
璧,たま/ヘキ sphere
舗,ホ shop
励,はげ∙む/レイ encourage
峰,みね/ホウ summit
墜,お∙ちる/ツイ crash
斜,なな∙め/シャ diagonal
哨,みはり/ショウ scout
燥,はしゃ∙ぐ/ソウ parch
砥,と/シ whetstone
弄,いじく∙る/ロウ play with
態,わざ∙と/タイ attitude
演,エン performance
長,なが∙い/チョウ long
沖,おき/チュウ open sea
肢,シ limb
梅,うめ/バイ plum
藩,ハン clan
皆,みな/カイ all
侮,あなど∙る/ブ scorn
詔,みことのり/ショウ imperial edict
惺,さと∙る/セイ realize
毎,ごと/マイ every
型,かた/ケイ mould
琢,みが∙く/タク polish
鍬,くわ/ショウ hoe with long blade at acute angle
駐,チュウ stop-over
傾,かたむ∙く/ケイ lean
丑,うし/チュウ sign of the ox or cow
母,はは/ボ mother
考,かんが∙える/コウ consider
絃,いと/ゲン string
優,やさ∙しい/ユウ tenderness
技,わざ/ギ skill
瞳,ひとみ/ドウ pupil (of eye)
貢,みつ∙ぐ/コウ tribute
萄,ドウ grape vine
価,あたい/カ value
曝,さら∙す/バク bleach
串,くし/カン shish kebab
慧,さとい/ケイ wise
溶,と∙ける/ヨウ melt
校,コウ exam
蔦,つた/チョウ vine
斯,か/シ this
